# --------------- Global -----------------------------------------------------
$SSL_ClickHere	Выполнить
$SSL_Race_51	Мать-дымок
$SSL_Race_52	Волк

# --------------- UI -----------------------------------------------------
$SSL_Thread	Поток
$SSL_Positions	Позиции
$SSL_Debug	Дебаг
$SSL_SceneInfo	Информация о сцене
$SSL_Offset	Смещение
$SSL_AlternateScenes	Сцены
$SSL_PickRandom	Запустить случайную сцену
$SSL_ToggleAutoplay	Авто-воспроизведение
$SSL_Name	Имя
$SSL_Author	Автор
$SSL_Package	Набор
$SSL_Tags	Тэги
$SSL_CustomTags	Примечания
$SSL_ActiveFurniture{}	Центр: {}
$SSL_StepSize	Величина шага
$SSL_StageOnly	Только стадии
$SSL_ResetOffsets	Сбросить смещение
$SSL_Permutation	Перестановка
$SSL_Expression	Эмоция
$SSL_Voice	Голос
$SSL_GhostMode	Режим призрака
$SSL_ExitMenu	Выйти из меню
$SSL_PauseAnimation	Анимация на паузу
$SSL_MoveScene	Переместить сцену
$SSL_Speed	Скорость
$SSL_NextStage	Следующая стадия
$SSL_EndScene	Завершение
$SSL_HideHUD	Спрятать интерфейс игры
$SSL_HideUI	Спрятать интерфейс сцены
$SSL_None	Нет

# --------------- Sex Journal (Sex Diary) -----------------------------------------------------
$SSL_SexJournal	Секс Журнал
$SSL_SexDiary	Секс Дневник

$SSL_StatSelectingMenu	Просмотр статистики
$SSL_StatSelectingMenuHighlight	Выбранный в данный момент персонаж, по которому отображается статистика.

$SSL_Reset{}Stats	Сбросить {} Статы
$SSL_ResetStatHighlight	Удаляет выбранного Актёра из статистики, обнуляя его статистику, умолчания и ручные настройки.
$SSL_WarnReset{}Stats	Данное действие обнулит весь сексуальный опыт и статы для {}. Желаете продолжить?

# ------ Statistics
$SSL_Statistics	Статистика

$SSL_LastTimeInScene	Дата последней сцены.
$SSL_TimeInScenes	Время потраченное в сценах
$SSL_Statistic_2	Опыт вагинального секса
$SSL_Statistic_3	Опыт анального секса
$SSL_Statistic_4	Опыт орального секса

$SSL_Unskilled	Без опыта
$SSL_Novice	Новичок
$SSL_Apprentice	Ученик
$SSL_Journeyman	Адепт
$SSL_Expert	Эксперт
$SSL_Master	Мастер
$SSL_GrandMaster	Легенда

$SSL_Statistic_5	Партнеры: Мужчины
$SSL_Statistic_6	Партнеры: Женщины
$SSL_Statistic_7	Партнеры: Фута
$SSL_Statistic_8	Партнеры: Существа

$SSL_Sexuality	Сексуальность
$SSL_SexualityHighlight	Нажмите чтобы изменить сексуальность данного Актёра

$SSL_Lesbian	Лесбиянка
$SSL_Gay	Гей
$SSL_Bisexual	Бисексуал(-ка)
$SSL_Heterosexual	Натурал(-ка)

$SSL_Statistic_9	Число орального секса
$SSL_Statistic_10	Число вагинального секса
$SSL_Statistic_11	Число анального секса
$SSL_Statistic_12	Число манстурбаций
$SSL_Statistic_13	Число в роли жертвы
$SSL_Statistic_14	Число в роли агрессора
$SSL_Statistic_15	Число всего



# ----------------- Animation Settings ---------------------------------------------------
$SSL_AnimationSettings	Настройки сцены

# ------ Player settings
$SSL_PlayerSettings	Настройки игрока

# TODO: $SSL_bAutoAdvance
$SSL_bAutoAdvance	Auto Advance Stages
# TODO: $SSL_bAutoAdvanceHighlight
$SSL_bAutoAdvanceHighlight	Animations will automatically advance by timer when player is involved.
# TODO: $SSL_bDisablePlayer
$SSL_bDisablePlayer	Disable Victim Controls
# TODO: $SSL_bDisablePlayerHighlight
$SSL_bDisablePlayerHighlight	When player is the victim in an animation, animation controls are not enabled.
# TODO: $SSL_bAutoTFC
$SSL_bAutoTFC	Automatic Free Camera
# TODO: $SSL_bAutoTFCHighlight
$SSL_bAutoTFCHighlight	If enabled, will automatically enable the free flying camera (TFC) when animation involving the player starts.
# TODO: $SSL_fAutoSUCSM
$SSL_fAutoSUCSM	Free Camera Speed
# TODO: $SSL_fAutoSUCSMHighlight
$SSL_fAutoSUCSMHighlight	When starting the free camera this will be the default speed it will move at.
$SSL_PlayerSex	Пол игрового персонажа
$SSL_{}Sex	Пол персонажа {}
# TODO: $SSL_SexSelectHighlight
$SSL_SexSelectHighlight	How SexLab perceives this actor's sex. This is used to determine which position(s) an actor can be placed in during scenes. Has no direct influence on how an actor acts or looks.

# ------ Extra effects
$SSL_ExtraEffects	Экстра эффекты

$SSL_ClimaxType	Тип оргазмов
# TODO: $SSL_ClimaxTypeHighlight
$SSL_ClimaxTypeHighlight	The behavior of climaxes during Scenes.
$SSL_Climax_0	На базе настроек сцен
$SSL_Climax_1	Как в старых Sexlab
$SSL_Climax_2	Раздельные оргазмы

# TODO: $SSL_bOrgasmEffects
$SSL_bOrgasmEffects	Play Orgasm Effects
# TODO: $SSL_bOrgasmEffectsHighlight
$SSL_bOrgasmEffectsHighlight	If enabled, orgasm sounds effects will be played on each actor orgasm, also the camera shake on player orgasm.
# TODO: $SSL_fShakeStrength
$SSL_fShakeStrength	Shake Camera Strength
# TODO: $SSL_fShakeStrengthHighlight
$SSL_fShakeStrengthHighlight	If "Play Orgasm Effects" is enabled, set the strength of the camera shake on player orgasm.\nSet on "0" to disable it.
# TODO: $SSL_bUseCum
$SSL_bUseCum	Apply Cum Effects
# TODO: $SSL_bUseCumHighlight
$SSL_bUseCumHighlight	Apply a cum texture effect to receiver/victim characters after a male partner/aggressor orgasm.
# TODO: $SSL_fCumTimer
$SSL_fCumTimer	Cum Effect Timer
# TODO: $SSL_fCumTimerHighlight
$SSL_fCumTimerHighlight	How long the above cum effect will display on a character.
# TODO: $SSL_bUseExpressions
$SSL_bUseExpressions	Apply Facial Expressions
# TODO: $SSL_bUseExpressionsHighlight
$SSL_bUseExpressionsHighlight	Applies selected MFG presets to an actor during animation which increases as the animation progresses in relation to that particular characters applicable skills. WARNING: The expression presets can cause graphical oddities when combined with the voice lip syncing option.
# TODO: $SSL_bUseLipSync
$SSL_bUseLipSync	Play Lip Sync Animation
# TODO: $SSL_bUseLipSyncHighlight
$SSL_bUseLipSyncHighlight	Whenever an actor moans, a basic mouth movement animation will be played. WARNING: The animation tends to fail to play correctly when combined with MFG facial expressions.

# ------ Lovense
$SSL_Lovense	Lovense
# TODO: $SSL_iLovenseStrength
$SSL_iLovenseStrength	Default Strength
# TODO: $SSL_iLovenseStrengthHighlight
$SSL_iLovenseStrengthHighlight	Vibration strength of Lovense Toys during scenes. Only applies to scenes the player is involved.
# TODO: $SSL_iLovenseStrengthOrgasm
$SSL_iLovenseStrengthOrgasm	Orgasm Strength
# TODO: $SSL_iLovenseStrengthOrgasmHighlight
$SSL_iLovenseStrengthOrgasmHighlight	Vibration strength of Lovense Toys after an orgasm occurs. Only applies to the player's orgasms.
# TODO: $SSL_iLovenseDurationOrgasm
$SSL_iLovenseDurationOrgasm	Orgasm Duration
# TODO: $SSL_iLovenseDurationOrgasmHighlight
$SSL_iLovenseDurationOrgasmHighlight	How long the vibration will last before resetting when an orgasm occurs.

# ------ Creatures
# TODO: $SSL_bAllowCreatures
$SSL_bAllowCreatures	Allow Creature Animation
# TODO: $SSL_bAllowCreaturesHighlight
$SSL_bAllowCreaturesHighlight	Allows creatures to be used in animations.
# TODO: $SSL_bCreatureGender
$SSL_bCreatureGender	Match Creature Sex
# TODO: $SSL_bCreatureGenderHighlight
$SSL_bCreatureGenderHighlight	If SexLab should differ between male and female creatures.\nSexLab usually treats all non-human actors as male.

# ------ Animation Handling
$SSL_AnimationHandling	Обработка анимации

$SSL_UseFade	Использовать затухание экрана
# TODO: $SSL_UseFadeHighlight
$SSL_UseFadeHighlight	Apply an image modifier effect at the beginning of an animation.
$SSL_UseBlur	Размытие
$SSL_UseBlack	Черный экран
# TODO: $SSL_bUndressAnimation
$SSL_bUndressAnimation	Undress Animation
# TODO: $SSL_bUndressAnimationHighlight
$SSL_bUndressAnimationHighlight	Actors will play an undressing animation when initially stripping.
# TODO: $SSL_bRedressVictim
$SSL_bRedressVictim	Victim's Re-dress
# TODO: $SSL_bRedressVictimHighlight
$SSL_bRedressVictimHighlight	Victims in animations will not automatically dress after the animation ends.
# TODO: $SSL_bDisableTeleport
$SSL_bDisableTeleport	Disable Starting Teleport
# TODO: $SSL_bDisableTeleportHighlight
$SSL_bDisableTeleportHighlight	On animation start, actors will attempt to approach each other prior to the animation fully starting.
# TODO: $SSL_bShowInMap
$SSL_bShowInMap	Show Scenes on Map
# TODO: $SSL_bShowInMapHighlight
$SSL_bShowInMapHighlight	Get a miscellaneous quest marker for each scene playing nearby (except the ones you are participating in yourself).
# TODO: $SSL_bSetAnimSpeedByEnjoyment
$SSL_bSetAnimSpeedByEnjoyment	Enjoyment affected Animation Speed
# TODO: $SSL_bSetAnimSpeedByEnjoymentHighlight
$SSL_bSetAnimSpeedByEnjoymentHighlight	Base animation speed changes depending on actor enjoyment (+/-20%).
$SSL_AdjustStage	Корректирование текущей стадии
# TODO: $SSL_AdjustStageHighlight
$SSL_AdjustStageHighlight	Toggles whether all edits to position/stage offsets will apply for currently playing stage only.
# TODO: $SSL_fAdjustStepSize
$SSL_fAdjustStepSize	Offset Step Size
# TODO: $SSL_fAdjustStepSizeHighlight
$SSL_fAdjustStepSizeHighlight	Determines the step size for offset adjustments.
# TODO: $SSL_bHideHUD
$SSL_bHideHUD	Hide Game HUD
# TODO: $SSL_bHideHUDHighlight
$SSL_bHideHUDHighlight	Hides the elements from game's HUD, not the scene HUD.
$SSL_FurnitureNPC	Использование мебели: NPC
$SSL_FurnitureNPCHighlight	Как NPC используют мебель. Если быть более точным, будут ли NPC использовать мебель, если она доступна и при каких условиях.
$SSL_AskNotSub	Спрашивать (если игрок не покорный)
$SSL_AskAlways	Всегда спрашивать
$SSL_FurniturePlayer	Использование мебели: Игрок
$SSL_FurniturePlayerHighlight	Позволяет решить, будет ли использована мебель в сценах с участием игрока (если доступна). Заменяет все прочие настройки касающиеся мебели. "Спрашивать" - выдаёт меню позволяющее выбрать варианты. Если игрок покорный (и выбрана опция "если игрок не покорный"), то решение принимается без выпадающих опций исходя из настроек NPC.

# ---- COMEBACK: Might delete
# TODO: $SSL_bDisableScale
$SSL_bDisableScale	Disable Scaling / CTD Fix
# TODO: $SSL_bDisableScaleHighlight
$SSL_bDisableScaleHighlight	!!! Only Enable if Needed !!!\nDisables all internal uses of SetScale() within SexLab, which is known to cause crashes during animation start for some users. Some scaling may still occur through other means, such as furniture use, which SexLab will be unable to correct for while this is enabled. Your results may vary.

# ----------------- Voices & SFX ---------------------------------------------------
$SSL_SoundSettings	Настройки звука

# TODO: $SSL_fSFXVolume
$SSL_fSFXVolume	SFX Volume
# TODO: $SSL_fSFXVolumeHighlight
$SSL_fSFXVolumeHighlight	The overall volume of the SFX from 0.0 as silent to 1.0 as full volume.
# TODO: $SSL_fSFXDelay
$SSL_fSFXDelay	SFX Delay
# TODO: $SSL_fSFXDelayHighlight
$SSL_fSFXDelayHighlight	Applicable sound effects will start out at this interval and will decrease with each stage.
# TODO: $SSL_fVoiceVolume
$SSL_fVoiceVolume	Voice Volume
# TODO: $SSL_fVoiceVolumeHighlight
$SSL_fVoiceVolumeHighlight	The overall volume of the voices from 0.0 as silent to 1.0 as full volume.
# TODO: $SSL_fMaleVoiceDelay
$SSL_fMaleVoiceDelay	Male Voice Delay
# TODO: $SSL_fMaleVoiceDelayHighlight
$SSL_fMaleVoiceDelayHighlight	Male's will start out voicing at this interval and will decrease with each stage.
# TODO: $SSL_fFemaleVoiceDelay
$SSL_fFemaleVoiceDelay	Female Voice Delay
# TODO: $SSL_fFemaleVoiceDelayHighlight
$SSL_fFemaleVoiceDelayHighlight	Female's will start out voicing at this interval and will decrease with each stage.

$SSL_CachedVoices	Кэшированные голоса
$SSL_SelectVoiceCache	Выбранный персонаж
# TODO: $SSL_SelectVoiceCacheHighlight
$SSL_SelectVoiceCacheHighlight	The actor which's voice you are currently viewing.
$SSL_SelectVoiceCacheV	Голос персонажа
# TODO: $SSL_SelectVoiceCacheVHighlight
$SSL_SelectVoiceCacheVHighlight	The SexLab Voice this actor is using.\nVoices (if not manually selected) will be set the first time an actor partakes in an animation.

$SSL_ToggleVoices	Переключение голосов
$SSL_ActiveVoices	Просматриваемые голоса
$SSL_ActiveVoicesHighlight	Голоса, которые вы на данный момент просматриваете, отфильтрованные по расе.

$SSL_FemaleAverage	[SL] Женский Средний
$SSL_FemaleBreathy	[SL] Женский С придыханием
$SSL_FemaleClassic	[SL] Женский Классический
$SSL_FemaleExcitable	[SL] Женский Возбуждённый
$SSL_FemaleMature	[SL] Женский Зрелый
$SSL_FemaleQuiet	[SL] Женский Тихий
$SSL_FemaleStimulated	[SL] Женский Стимулированный
$SSL_FemaleYoung	[SL] Женский Молодой
$SSL_FemaleFlat	[SL] Женский Ровный
$SSL_FemaleRebellious	[SL] Женский Мятежный
$SSL_FemaleRebellious2	[SL] Женский Мятежный (Альт)
$SSL_FemaleRough	[SL] Женский Грубый
$SSL_FemaleSeductive	[SL] Женский Соблазнительный
$SSL_FemaleShy	[SL] Женский Стеснительный
$SSL_FemaleShy2	[SL] Женский Стеснительный (Альт)
$SSL_FemaleWarrior	[SL] Женский Воинственный

$SSL_MaleAverage	[SL] Мужской Средний
$SSL_MaleCalm	[SL] Мужской Спокойный
$SSL_MaleNeutral	[SL] Мужской Нейтральный
$SSL_MaleRough	[SL] Мужской Грубый

$SSL_ChaurusVoice01	[SL] Корус Обычный
$SSL_DogVoice01	[SL] Собака Обычный
$SSL_DraugrVoice01	[SL] Драугр Обычный
$SSL_FalmerVoice01	[SL] Фалмер Обычный
$SSL_GiantVoice01	[SL] Великан Обычный
$SSL_HorseVoice01	[SL] Лошадь Обычный
$SSL_SprigganVoice01	[SL] Спригган Обычный
$SSL_TrollVoice01	[SL] Тролль Обычный
$SSL_WerewolfVoice01	[SL] Оборотень Обычный
$SSL_WolfVoice01	[SL] Волк Обычный

# ------------------Player Hotkeys--------------------------------------------------
$SSL_PlayerHotkeys	Горячие клавиши

# TODO: $SSL_bUseSceneMenu
$SSL_bUseSceneMenu	Use Scene Menu
# TODO: $SSL_bUseSceneMenuHighlight
$SSL_bUseSceneMenuHighlight	Toggles the use of the native in-scene menu and enjoyment bars.\nDisabling this brings back support for some modernized legacy SL's hotkeys.

# ------ Global SexLab Hotkeys
$SSL_GlobalHotkeys	Глобальные горячие клавиши

# TODO: $SSL_iTargetActor
$SSL_iTargetActor	Target Actor / Change Partner
# TODO: $SSL_iTargetActorHighlight
$SSL_iTargetActorHighlight	After pressing this hotkey, place your crosshairs in game over an actor until your receive a notification that the actor is targeted, afterwards the actor will be available for editing purposes in various menu pages.
# TODO: $SSL_iToggleFreeCamera
$SSL_iToggleFreeCamera	Toggle Free Camera Mode
# TODO: $SSL_iToggleFreeCameraHighlight
$SSL_iToggleFreeCameraHighlight	Toggles the camera mode into a free flying camera state, same as entering TFC into console, this hotkey is enabled at all times regardless of animation.
# TODO: $SSL_iToggleThreadControl
$SSL_iToggleThreadControl	Toggle Thread Control

# ------ Scene Manipulation
$SSL_SceneManipulation	Управление сценой
# TODO: $SSL_iKeyUp
$SSL_iKeyUp	Select Branch / Up
# TODO: $SSL_iKeyDown
$SSL_iKeyDown	Select Branch / Down
# TODO: $SSL_iKeyLeft
$SSL_iKeyLeft	Decrease Speed / Left
# TODO: $SSL_iKeyRight
$SSL_iKeyRight	Increase Speed / Right
# TODO: $SSL_iKeyAdvance
$SSL_iKeyAdvance	Advance Scene / Select
# TODO: $SSL_iKeyEnd
$SSL_iKeyEnd	End Scene / Close Menu / Back
# TODO: $SSL_iKeyExtra2
$SSL_iKeyExtra2	Open Menu / Swap Menu Tab
# TODO: $SSL_iKeyMod
$SSL_iKeyMod	Modifier
# TODO: $SSL_iKeyModHighlight
$SSL_iKeyModHighlight	Toggles alternative effect for other hotkeys.\nNext/Prev: ChangePartner, AdvanceStage, OffsetAdjustMode.\nAdjustTarget: EnjRaise, EnjHoldback, ChangePosition, OffsetDirections.\nThe hotkeys changing their mode to "AdjustTarget" with ModifierKey affect Player on their own.
# TODO: $SSL_iKeyReset
$SSL_iKeyReset	Inverse Action

# TODO: $SSL_LegacyHotkeys
$SSL_LegacyHotkeys	Legacy Hotkeys
# TODO: $SSL_iChangeAnimation
$SSL_iChangeAnimation	Change Animation
# TODO: $SSL_iMoveScene
$SSL_iMoveScene	Move Scene
# TODO: $SSL_iChangePositions
$SSL_iChangePositions	Change Positions
# TODO: $SSL_iOffsetAdjustMode
$SSL_iOffsetAdjustMode	Cycle Offset Adjust Modes
# TODO: $SSL_iOffsetAdjustModeHighlight
$SSL_iOffsetAdjustModeHighlight	Hotkey to switch between the 5 offset adjust modes when in scene.\nNone: Offset adjustments are disabled (default).\nPOS-XY: L/R keys adjust position's X, U/D adjust Y.\nPOS-RZ: L/R adjust pos's Rotation, U/D adjust Z.\nSCENE-XY: L/R adjust scene's X, U/D adjust Y (furniture scene only).\nSCENE-RZ: L/R adjust scene's Rotation, U/D adjust Z (furniture only).
# TODO: $SSL_iToggleAdjustStage
$SSL_iToggleAdjustStage	Toggle Adjust Stage
# TODO: $SSL_iRestoreOffsets
$SSL_iRestoreOffsets	Reset Offset Adjustments
# TODO: $SSL_iSceneSelectorMenu
$SSL_iSceneSelectorMenu	Scene Selector Menu

# ------ Scene Selector Menu
# TODO: $SSL_SS_OffsetAdjustMode
$SSL_SS_OffsetAdjustMode	Select Offset Adjust Mode
# TODO: $SSL_SS_ChangeCurrentScene
$SSL_SS_ChangeCurrentScene	Change Current Scene
# TODO: $SSL_SS_ResetScenesByTagName
$SSL_SS_ResetScenesByTagName	Search By Tag/Name
# TODO: $SSL_SS_AdjNone
$SSL_SS_AdjNone	Disable Offset Adjustments
# TODO: $SSL_SS_AdjPosXY
$SSL_SS_AdjPosXY	Ajust Position XY
# TODO: $SSL_SS_AdjPosRZ
$SSL_SS_AdjPosRZ	Ajust Position RZ
# TODO: $SSL_SS_AdjSceneXY
$SSL_SS_AdjSceneXY	Ajust Furniture XY
# TODO: $SSL_SS_AdjSceneRZ
$SSL_SS_AdjSceneRZ	Ajust Furniture RZ

# ------------------- Timers & Stripping -------------------------------------------------
$SSL_TimersStripping	Таймеры/Раздевание

# ------ Timers
$SSL_Timers	Таймеры
$SSL_StageTimer_0	Стадия №1
$SSL_StageTimer_1	Стадия №2
$SSL_StageTimer_2	Стадия №3 и выше
$SSL_StageTimer_3	Заключительная стадия

# ------ Stripping
$SSL_Stripping	Раздевание

$SSL_DefaultStripping	Стандартные сцены
$SSL_DominantStripping	Доминантные сцены

$SSL_StrippingFst_0	Мужские персонажи
$SSL_StrippingSnd_0	Женские персонажи
$SSL_StrippingFst_1	Агрессоры
$SSL_StrippingSnd_1	Жертвы
$SSL_ExtraSlots	Дополнительные ячейки снаряжения

$SSL_Strip_0	[30] Голова
$SSL_Strip_1	[31] Волосы
$SSL_Strip_2	[32] Торс
$SSL_Strip_3	[33] Руки
$SSL_Strip_4	[34] Предплечья
$SSL_Strip_5	[35] Амулеты
$SSL_Strip_6	[36] Кольца
$SSL_Strip_7	[37] Ступни
$SSL_Strip_8	[38] Икры ног
$SSL_Strip_9	[39] Щит
$SSL_Strip_10	[40] Хвост
$SSL_Strip_11	[41] Длинные волосы
$SSL_Strip_12	[42] Обруч
$SSL_Strip_13	[43] Уши
$SSL_Strip_14	[44] Лицо/Рот
$SSL_Strip_15	[45] Шея
$SSL_Strip_16	[46] Грудь
$SSL_Strip_17	[47] Спина
$SSL_Strip_18	[48] Разное
$SSL_Strip_19	[49] Таз/Верхняя одежда
$SSL_Strip_20	[50] Отрубленая голова
$SSL_Strip_21	[51] Обрубок
$SSL_Strip_22	[52] Трусы/Нижнее белье
$SSL_Strip_23	[53] Наколенник/Правая нога
$SSL_Strip_24	[54] Наколенник/Правая нога
$SSL_Strip_25	[55] Лицо/украшения
$SSL_Strip_26	[56] Грудь/Нижнее белье
$SSL_Strip_27	[57] Наплечники
$SSL_Strip_28	[58] Руки/Левая рука/Нижнее белье
$SSL_Strip_29	[59] Руки/Правая рука/Верхняя одежда
$SSL_Strip_30	[60] *Тело 3BA
$SSL_Strip_31	[61] *Эффекты заклинаний
$SSL_Weapons	[--] Оружие

# ------------------ Toggle Animations --------------------------------------------------
$SSL_ToggleAnimations	Анимации
$SSL_TogglePackage	Фильтровать по пакету
# TODO: $SSL_TogglePackageHighlight
$SSL_TogglePackageHighlight	Filter animations of a specific animation pack/module only
$SSL_ToggleGroup	Фильтровать по группе
# TODO: $SSL_togglecategoryHighlight
$SSL_togglecategoryHighlight	Filter animations by human/creature category
$SSL_ToggleVisible	Показывать отключённые
# TODO: $SSL_ToggleVisibleHighlight
$SSL_ToggleVisibleHighlight	Enable or disable all animations filtered on this page
$SSL_TagFilter	Фильтровать по тэгам
# TODO: $SSL_toggletagsHighlight
$SSL_toggletagsHighlight	Filter animations by tags
$SSL_Page{}{}	Страница {}/{}


# ------------------ Matchmaker --------------------------------------------------
$SSL_MatchMaker	Генератор сцен

$SSL_ToggleMatchMaker	Включить Генератор сцен
# TODO: $SSL_ToggleMatchMakerHighlight
$SSL_ToggleMatchMakerHighlight	Enable Matchmaker. Spells will be added to the spell menu

# ------ Tag Settings
$SSL_MatchMakerTagsSettings	Настройки Тегов
$SSL_InputTags	Тэги:
# TODO: $SSL_matchmakerInputTagsHighlight
$SSL_matchmakerInputTagsHighlight	Resulting tag string based on tag inputs below
$SSL_InputRequiredTags	Обязательные тэги:
# TODO: $SSL_matchmakerInputRequiredTagsHighlight
$SSL_matchmakerInputRequiredTagsHighlight	A list of comma-separated tags, all of which must be present simultaneously in the filtered scene(s)
$SSL_InputExcludedTags	Исключённые тэги:
# TODO: $SSL_matchmakerInputExcludedTagsHighlight
$SSL_matchmakerInputExcludedTagsHighlight	A list of comma-separated tags, none of which shall be present in the filtered scene(s)
$SSL_InputOptionalTags	Опциональные тэги:
# TODO: $SSL_matchmakerInputOptionalTagsHighlight
$SSL_matchmakerInputOptionalTagsHighlight	A list of comma-separated tags, at least one of which shall be present in the filtered scene(s)
$SSL_TextResetTags	Сбросить тэги
# TODO: $SSL_TextResetTagsHighlight
$SSL_TextResetTagsHighlight	Resets all tag input fields
$SSL_ResetTagsHere	Сбросить
$SSL_TagResetAreYouSure	Это сбросит все тэги, вы уверены?

# ------ Actor Settings
$SSL_MatchMakerActorSettings	Настройка актёров
# TODO: $SSL_bSubmissivePlayer
$SSL_bSubmissivePlayer	Submissive Player
# TODO: $SSL_bSubmissivePlayerHighlight
$SSL_bSubmissivePlayerHighlight	Filter scenes with player in the submissive position
# TODO: $SSL_bSubmissiveTarget
$SSL_bSubmissiveTarget	Submissive Target
# TODO: $SSL_bSubmissiveTargetHighlight
$SSL_bSubmissiveTargetHighlight	Filter scenes with target actor in the submissive position

# ------------------ Enjoyment --------------------------------------------------
# TODO: $SSL_EnjoymentSettings
$SSL_EnjoymentSettings	Enjoyment Settings

# ------ Primary Settings
# TODO: $SSL_bInternalEnjoymentEnabled
$SSL_bInternalEnjoymentEnabled	Enable Internal Enjoyment
# TODO: $SSL_bInternalEnjoymentEnabledHighlight
$SSL_bInternalEnjoymentEnabledHighlight	Toggles the internal enjoyment system. Should stay enabled unless an external mod desires to take full control of the enjoyment calculus.
# TODO: $SSL_fEnjRaiseMultInter
$SSL_fEnjRaiseMultInter	EnjRaise Mult: Interactions
# TODO: $SSL_fEnjRaiseMultInterHighlight
$SSL_fEnjRaiseMultInterHighlight	The main multiplier/factor determining the rate at which enjoyment increases for an actor based on detected interactions. Higher values mean faster enjoyment raise and vice versa.\n Can be reduced to zero if user desires enjoyment raise to depend solely on the enjoyment minigame.
# TODO: $SSL_bGameEnabled
$SSL_bGameEnabled	Enable Enjoyment Game
# TODO: $SSL_bGameEnabledHighlight
$SSL_bGameEnabledHighlight	Toggles the enjoyment minigame inspired from SLSO's implementation.

# ------ General Configs
# TODO: $SSL_bFallbackToTagsForDetection
$SSL_bFallbackToTagsForDetection	Allow Fallback to Position Tags
# TODO: $SSL_bFallbackToTagsForDetectionHighlight
$SSL_bFallbackToTagsForDetectionHighlight	Toggles fallback to position tags for interactions detection when the internal physics-based real-time collision type guessing is not available.
# TODO: $SSL_bNoStaminaEndsScene
$SSL_bNoStaminaEndsScene	No Stamina Ends Scene
# TODO: $SSL_bNoStaminaEndsSceneHighlight
$SSL_bNoStaminaEndsSceneHighlight	Ends the scene automatically when the actor's stamina is depleted.
# TODO: $SSL_bMaleOrgasmEndsScene
$SSL_bMaleOrgasmEndsScene	Male Orgasm Ends Scene
# TODO: $SSL_bMaleOrgasmEndsSceneHighlight
$SSL_bMaleOrgasmEndsSceneHighlight	Ends the scene after the first male orgasm.
# TODO: $SSL_bDomMustOrgasm
$SSL_bDomMustOrgasm	Dom Actor Must Orgasm
# TODO: $SSL_bDomMustOrgasmHighlight
